cellId,x_mm,y_mm,z_mm,dose_Gy
409,409,0,0,2.394965e-10
410,410,0,0,2.216877e-10
411,411,0,0,3.261706e-10
412,412,0,0,1.933511e-10
413,413,0,0,2.006937e-10
414,414,0,0,2.355927e-10
415,415,0,0,2.018961e-10
416,416,0,0,2.146767e-10
417,417,0,0,2.585649e-10
418,418,0,0,2.204808e-10
419,419,0,0,2.209055e-10
420,420,0,0,2.668403e-10
421,421,0,0,2.902061e-10
422,422,0,0,2.039780e-10
423,423,0,0,1.949287e-10
424,424,0,0,2.273382e-10
425,425,0,0,2.893821e-10
426,426,0,0,2.080781e-10
427,427,0,0,2.990051e-10
428,428,0,0,3.213577e-10
429,429,0,0,2.961675e-10
430,430,0,0,2.289295e-10
431,431,0,0,2.202169e-10
432,432,0,0,2.916740e-10
433,433,0,0,2.115298e-10
434,434,0,0,2.121639e-10
435,435,0,0,2.345837e-10
436,436,0,0,2.586748e-10
437,437,0,0,2.292045e-10
438,438,0,0,2.523227e-10
439,439,0,0,2.460649e-10
440,440,0,0,3.025370e-10
441,441,0,0,2.812185e-10
442,442,0,0,2.642163e-10
443,443,0,0,2.416628e-10
444,444,0,0,2.083339e-10
445,445,0,0,2.487686e-10
446,446,0,0,3.015209e-10
447,447,0,0,2.088421e-10
448,448,0,0,2.236145e-10
449,449,0,0,2.094288e-10
450,450,0,0,2.125909e-10
451,451,0,0,2.334985e-10
452,452,0,0,2.166427e-10
453,453,0,0,2.560205e-10
454,454,0,0,1.919674e-10
455,455,0,0,2.529778e-10
456,456,0,0,2.443957e-10
457,457,0,0,2.290194e-10
458,458,0,0,1.982671e-10
459,459,0,0,2.625416e-10
460,460,0,0,2.876361e-10
461,461,0,0,2.062399e-10
462,462,0,0,2.617790e-10
463,463,0,0,2.062758e-10
464,464,0,0,2.282928e-10
465,465,0,0,2.674971e-10
466,466,0,0,2.357667e-10
467,467,0,0,2.137307e-10
468,468,0,0,2.378884e-10
469,469,0,0,1.887889e-10
470,470,0,0,2.098010e-10
471,471,0,0,2.218442e-10
472,472,0,0,2.266864e-10
473,473,0,0,2.420559e-10
474,474,0,0,2.059492e-10
475,475,0,0,2.083778e-10
476,476,0,0,2.270617e-10
477,477,0,0,2.275107e-10
478,478,0,0,2.177120e-10
479,479,0,0,2.392672e-10
480,480,0,0,2.208950e-10
481,481,0,0,2.451005e-10
482,482,0,0,2.254406e-10
483,483,0,0,2.739236e-10
484,484,0,0,2.973274e-10
485,485,0,0,2.280930e-10
486,486,0,0,2.081816e-10
487,487,0,0,2.061806e-10
488,488,0,0,2.412585e-10
489,489,0,0,2.445266e-10
490,490,0,0,2.358146e-10
491,491,0,0,2.433152e-10
492,492,0,0,2.255145e-10
493,493,0,0,2.291006e-10
494,494,0,0,2.401988e-10
495,495,0,0,2.445048e-10
496,496,0,0,2.349927e-10
497,497,0,0,3.020901e-10
498,498,0,0,3.050319e-10
499,499,0,0,2.863139e-10
500,500,0,0,3.286547e-10
501,501,0,0,2.170158e-10
502,502,0,0,2.471142e-10
503,503,0,0,2.653030e-10
504,504,0,0,2.370869e-10
505,505,0,0,2.093840e-10
506,506,0,0,2.712987e-10
507,507,0,0,3.056010e-10
508,508,0,0,2.627911e-10
509,509,0,0,2.689346e-10
510,510,0,0,2.362784e-10
511,511,0,0,2.558412e-10
512,512,0,0,2.110497e-10
513,513,0,0,2.166532e-10
514,514,0,0,1.383610e-09
515,515,0,0,2.388088e-10
516,516,0,0,2.944133e-10
517,517,0,0,2.753713e-10
518,518,0,0,1.898076e-10
519,519,0,0,1.862438e-10
520,520,0,0,1.820543e-10
521,521,0,0,1.994669e-10
522,522,0,0,1.978527e-10
523,523,0,0,2.010397e-10
524,524,0,0,2.444777e-10
525,525,0,0,2.099285e-10
526,526,0,0,2.030262e-10
527,527,0,0,2.142076e-10
528,528,0,0,2.714135e-10
529,529,0,0,2.077878e-10
530,530,0,0,2.562948e-10
531,531,0,0,1.909536e-10
532,532,0,0,1.955900e-10
533,533,0,0,2.594082e-10
534,534,0,0,2.283702e-10
535,535,0,0,1.974389e-10
536,536,0,0,2.260062e-10
537,537,0,0,2.856071e-10
538,538,0,0,1.922679e-10
539,539,0,0,2.429017e-10
540,540,0,0,2.176499e-10
541,541,0,0,2.423710e-10
542,542,0,0,2.409800e-10
543,543,0,0,2.027327e-10
544,544,0,0,2.469647e-10
545,545,0,0,2.321974e-10
546,546,0,0,2.642713e-10
547,547,0,0,2.661837e-10
548,548,0,0,2.050140e-10
549,549,0,0,1.866880e-10
550,550,0,0,2.097632e-10
551,551,0,0,2.362667e-10
552,552,0,0,2.421638e-10
553,553,0,0,2.169004e-10
554,554,0,0,2.159303e-10
555,555,0,0,2.257145e-10
556,556,0,0,3.077574e-10
557,557,0,0,2.278256e-10
558,558,0,0,2.238381e-10
559,559,0,0,2.230388e-10
560,560,0,0,2.064164e-10
561,561,0,0,2.053247e-10
562,562,0,0,2.624106e-10
563,563,0,0,2.402808e-10
564,564,0,0,2.169115e-10
565,565,0,0,2.240350e-10
566,566,0,0,2.102949e-10
567,567,0,0,2.058557e-10
568,568,0,0,2.108189e-10
569,569,0,0,3.075721e-10
570,570,0,0,2.066795e-10
571,571,0,0,2.122361e-10
572,572,0,0,2.375907e-10
573,573,0,0,1.946359e-10
574,574,0,0,2.018938e-10
575,575,0,0,2.326037e-10
576,576,0,0,2.323078e-10
577,577,0,0,2.025395e-10
578,578,0,0,2.144182e-10
579,579,0,0,1.963552e-10
580,580,0,0,1.973890e-10
581,581,0,0,2.335679e-10
582,582,0,0,2.415992e-10
583,583,0,0,2.470443e-10
584,584,0,0,2.558860e-10
585,585,0,0,2.090711e-10
586,586,0,0,2.860082e-10
587,587,0,0,2.364547e-10
588,588,0,0,2.096619e-10
589,589,0,0,2.362603e-10
590,590,0,0,2.131753e-10
591,591,0,0,3.421049e-10
592,592,0,0,2.294219e-10
593,593,0,0,2.180946e-10
594,594,0,0,2.100526e-10
595,595,0,0,3.156386e-10
596,596,0,0,2.377051e-10
597,597,0,0,1.984190e-10
598,598,0,0,1.927571e-10
599,599,0,0,2.749849e-10
600,600,0,0,2.141181e-10
601,601,0,0,2.101077e-10
602,602,0,0,1.878918e-10
603,603,0,0,2.028186e-10
604,604,0,0,2.192042e-10
605,605,0,0,2.375574e-10
606,606,0,0,2.460160e-10
607,607,0,0,2.443606e-10
608,608,0,0,2.127228e-10
609,609,0,0,2.861067e-10
610,610,0,0,2.525908e-10
611,611,0,0,1.995756e-10
612,612,0,0,2.334276e-10
613,613,0,0,2.127078e-10
614,614,0,0,2.121982e-10
615,615,0,0,2.144720e-10
616,616,0,0,2.401068e-10
617,617,0,0,2.486828e-10
618,618,0,0,3.018212e-10
619,619,0,0,2.607621e-10
620,620,0,0,2.604142e-10
621,621,0,0,2.295898e-10
622,622,0,0,3.813889e-10
623,623,0,0,2.214129e-10
624,624,0,0,2.096476e-10
625,625,0,0,2.383016e-10
626,626,0,0,2.250620e-10
627,627,0,0,2.013466e-10
628,628,0,0,2.103121e-10
629,629,0,0,2.367278e-10
630,630,0,0,1.912956e-10
631,631,0,0,1.872223e-10
632,632,0,0,2.094383e-10
633,633,0,0,2.229544e-10
634,634,0,0,2.667613e-10
635,635,0,0,2.150581e-10
636,636,0,0,2.534959e-10
637,637,0,0,2.224721e-10
638,638,0,0,2.319172e-10
639,639,0,0,2.259522e-10
640,640,0,0,2.760035e-10
641,641,0,0,2.149682e-10
642,642,0,0,2.322395e-10
643,643,0,0,2.341580e-10
644,644,0,0,2.439834e-10
645,645,0,0,2.003203e-10
646,646,0,0,1.891792e-10
647,647,0,0,2.180948e-10
648,648,0,0,2.497706e-10
649,649,0,0,1.944240e-10
650,650,0,0,3.099385e-10
651,651,0,0,2.027592e-10
652,652,0,0,2.963614e-10
653,653,0,0,2.622628e-10
654,654,0,0,2.217586e-10
655,655,0,0,2.324867e-10
656,656,0,0,1.897786e-10
657,657,0,0,2.321902e-10
658,658,0,0,2.353227e-10
659,659,0,0,2.724215e-10
660,660,0,0,2.208418e-10
661,661,0,0,2.768306e-10
662,662,0,0,2.136818e-10
663,663,0,0,2.308791e-10
664,664,0,0,2.788742e-10
665,665,0,0,2.643491e-10
666,666,0,0,2.416073e-10
667,667,0,0,2.016086e-10
668,668,0,0,2.436662e-10
669,669,0,0,2.486522e-10
670,670,0,0,2.835817e-10
671,671,0,0,2.193715e-10
672,672,0,0,2.395369e-10
673,673,0,0,2.201218e-10
674,674,0,0,2.190435e-10
675,675,0,0,2.932268e-10
676,676,0,0,2.200702e-10
677,677,0,0,2.654959e-10
678,678,0,0,2.477186e-10
679,679,0,0,2.292333e-10
680,680,0,0,2.857119e-10
681,681,0,0,2.165271e-10
682,682,0,0,2.211617e-10
683,683,0,0,2.405739e-10
684,684,0,0,2.357347e-10
685,685,0,0,2.265951e-10
686,686,0,0,2.392073e-10
687,687,0,0,2.138518e-10
688,688,0,0,2.392511e-10
689,689,0,0,2.570097e-10
690,690,0,0,3.386331e-10
691,691,0,0,2.131590e-10
692,692,0,0,2.951633e-10
693,693,0,0,2.015068e-10
694,694,0,0,2.432775e-10
695,695,0,0,1.844205e-10
696,696,0,0,2.175300e-10
697,697,0,0,2.243461e-10
698,698,0,0,2.025024e-10
699,699,0,0,2.096127e-10
700,700,0,0,2.564085e-10
701,701,0,0,2.702889e-10
702,702,0,0,2.294475e-10
703,703,0,0,2.913336e-10
704,704,0,0,2.286014e-10
705,705,0,0,2.750834e-10
706,706,0,0,2.366850e-10
707,707,0,0,2.269038e-10
708,708,0,0,2.285618e-10
709,709,0,0,2.405648e-10
710,710,0,0,2.760493e-10
711,711,0,0,2.295730e-10
712,712,0,0,2.201632e-10
713,713,0,0,2.864768e-10
714,714,0,0,2.319423e-10
715,715,0,0,2.480148e-10
716,716,0,0,2.101275e-10
717,717,0,0,2.487449e-10
718,718,0,0,2.733825e-10
719,719,0,0,2.887188e-10
720,720,0,0,2.894247e-10
721,721,0,0,1.973163e-10
722,722,0,0,2.460168e-10
723,723,0,0,2.008668e-10
724,724,0,0,2.321992e-10
725,725,0,0,2.276373e-10
726,726,0,0,2.725886e-10
727,727,0,0,3.008454e-10
728,728,0,0,2.175758e-10
729,729,0,0,2.763336e-10
730,730,0,0,2.335609e-10
731,731,0,0,2.140024e-10
732,732,0,0,2.207885e-10
733,733,0,0,2.897671e-10
734,734,0,0,2.134254e-10
735,735,0,0,1.995924e-10
736,736,0,0,2.492383e-10
737,737,0,0,2.164125e-10
738,738,0,0,1.919988e-10
739,739,0,0,2.098783e-10
740,740,0,0,1.917050e-10
741,741,0,0,2.116788e-10
742,742,0,0,1.941947e-10
743,743,0,0,1.928619e-10
744,744,0,0,2.017309e-10
745,745,0,0,2.720686e-10
746,746,0,0,2.302519e-10
747,747,0,0,2.360339e-10
748,748,0,0,2.335775e-10
749,749,0,0,2.978850e-10
750,750,0,0,2.112907e-10
751,751,0,0,2.453409e-10
752,752,0,0,3.282600e-10
753,753,0,0,2.399466e-10
754,754,0,0,3.067275e-10
755,755,0,0,2.278912e-10
756,756,0,0,2.951292e-10
757,757,0,0,2.047581e-10
758,758,0,0,2.326133e-10
759,759,0,0,2.285326e-10
760,760,0,0,3.292647e-10
761,761,0,0,2.451684e-10
762,762,0,0,2.291521e-10
763,763,0,0,2.883989e-10
764,764,0,0,2.680984e-10
765,765,0,0,2.448817e-10
766,766,0,0,2.156783e-10
767,767,0,0,2.355674e-10
768,768,0,0,1.986270e-10
769,769,0,0,2.228224e-10
770,770,0,0,2.263037e-10
771,771,0,0,2.234460e-10
772,772,0,0,2.036550e-10
773,773,0,0,2.234153e-10
774,774,0,0,2.111032e-10
775,775,0,0,2.344388e-10
776,776,0,0,2.528170e-10
777,777,0,0,2.274194e-10
778,778,0,0,1.940577e-10
779,779,0,0,2.075510e-10
780,780,0,0,2.657683e-10
781,781,0,0,2.466743e-10
782,782,0,0,2.448002e-10
783,783,0,0,2.484666e-10
784,784,0,0,2.106476e-10
785,785,0,0,2.289434e-10
786,786,0,0,2.184278e-10
787,787,0,0,2.437541e-10
788,788,0,0,2.421600e-10
789,789,0,0,2.197116e-10
790,790,0,0,2.161142e-10
791,791,0,0,2.064740e-10
792,792,0,0,3.440779e-10
793,793,0,0,2.423431e-10
794,794,0,0,2.405582e-10
795,795,0,0,2.056004e-10
796,796,0,0,2.510806e-10
797,797,0,0,2.349101e-10
798,798,0,0,2.064115e-10
799,799,0,0,2.077700e-10
800,800,0,0,2.062276e-10
801,801,0,0,2.355118e-10
802,802,0,0,2.174292e-10
803,803,0,0,2.446536e-10
804,804,0,0,2.383608e-10
805,805,0,0,1.993871e-10
806,806,0,0,3.074364e-10
807,807,0,0,2.358424e-10
808,808,0,0,2.532832e-10
809,809,0,0,2.082751e-10
810,810,0,0,3.169644e-10
811,811,0,0,2.222704e-10
812,812,0,0,2.186429e-10
813,813,0,0,2.436321e-10
814,814,0,0,2.208760e-10
815,815,0,0,2.184168e-10
816,816,0,0,2.281051e-10
817,817,0,0,1.871005e-10
818,818,0,0,2.924791e-10
819,819,0,0,2.137629e-10
820,820,0,0,2.021278e-10
821,821,0,0,2.093895e-10
822,822,0,0,2.451610e-10
823,823,0,0,2.307196e-10
824,824,0,0,2.244968e-10
825,825,0,0,3.265784e-10
826,826,0,0,2.476170e-10
827,827,0,0,2.036286e-10
828,828,0,0,2.328011e-10
829,829,0,0,2.557958e-10
830,830,0,0,2.390527e-10
831,831,0,0,2.963452e-10
832,832,0,0,2.111955e-10
833,833,0,0,2.585511e-10
834,834,0,0,2.660043e-10
835,835,0,0,2.439302e-10
836,836,0,0,2.337095e-10
837,837,0,0,2.090373e-10
838,838,0,0,2.169214e-10
839,839,0,0,2.226765e-10
840,840,0,0,2.895931e-10
841,841,0,0,2.167547e-10
842,842,0,0,1.927381e-10
843,843,0,0,2.163937e-10
844,844,0,0,2.586737e-10
845,845,0,0,2.488273e-10
846,846,0,0,2.418186e-10
847,847,0,0,2.317586e-10
848,848,0,0,2.756265e-10
849,849,0,0,2.138037e-10
850,850,0,0,2.011263e-10
851,851,0,0,2.236373e-10
852,852,0,0,2.645719e-10
853,853,0,0,2.709964e-10
854,854,0,0,2.241351e-10
855,855,0,0,2.465939e-10
856,856,0,0,2.814999e-10
857,857,0,0,2.411730e-10
858,858,0,0,2.393164e-10
859,859,0,0,1.975343e-10
860,860,0,0,2.157990e-10
861,861,0,0,2.076236e-10
862,862,0,0,2.508813e-10
863,863,0,0,2.394000e-10
864,864,0,0,1.918811e-10
865,865,0,0,2.205476e-10
866,866,0,0,2.115487e-10
867,867,0,0,2.492608e-10
868,868,0,0,2.096750e-10
869,869,0,0,2.209890e-10
