cellId,x_mm,y_mm,z_mm,edep_MeV
317,317,0,0,6.659919e-01
318,318,0,0,5.661049e-01
319,319,0,0,6.908694e-01
320,320,0,0,7.229569e-01
321,321,0,0,7.074975e-01
322,322,0,0,7.001684e-01
323,323,0,0,5.575873e-01
324,324,0,0,6.446376e-01
325,325,0,0,7.120069e-01
326,326,0,0,7.957701e-01
327,327,0,0,7.620726e-01
328,328,0,0,5.991511e-01
329,329,0,0,7.663286e-01
330,330,0,0,7.666811e-01
331,331,0,0,6.462112e-01
332,332,0,0,5.929132e-01
333,333,0,0,7.470862e-01
334,334,0,0,6.455014e-01
335,335,0,0,5.870630e-01
336,336,0,0,8.012552e-01
337,337,0,0,7.772720e-01
338,338,0,0,5.823745e-01
339,339,0,0,6.936298e-01
340,340,0,0,8.670861e-01
341,341,0,0,5.770258e-01
342,342,0,0,5.787965e-01
343,343,0,0,5.748785e-01
344,344,0,0,6.334688e-01
345,345,0,0,6.675052e-01
346,346,0,0,6.045380e-01
347,347,0,0,6.986183e-01
348,348,0,0,7.975420e-01
349,349,0,0,7.412296e-01
350,350,0,0,6.062284e-01
351,351,0,0,6.510630e-01
352,352,0,0,6.024175e-01
353,353,0,0,6.119639e-01
354,354,0,0,7.008584e-01
355,355,0,0,5.419520e-01
356,356,0,0,5.907805e-01
357,357,0,0,7.816500e-01
358,358,0,0,6.218466e-01
359,359,0,0,6.520658e-01
360,360,0,0,7.564742e-01
361,361,0,0,7.382037e-01
362,362,0,0,7.153031e-01
363,363,0,0,6.406704e-01
364,364,0,0,8.306642e-01
365,365,0,0,6.515662e-01
366,366,0,0,6.946067e-01
367,367,0,0,6.107987e-01
368,368,0,0,7.321532e-01
369,369,0,0,6.086812e-01
370,370,0,0,6.734111e-01
371,371,0,0,8.875715e-01
372,372,0,0,7.653382e-01
373,373,0,0,6.364275e-01
374,374,0,0,6.142454e-01
375,375,0,0,7.222624e-01
376,376,0,0,5.878963e-01
377,377,0,0,7.815904e-01
378,378,0,0,5.902402e-01
379,379,0,0,5.413111e-01
380,380,0,0,7.139397e-01
381,381,0,0,7.851034e-01
382,382,0,0,5.794009e-01
383,383,0,0,7.586572e-01
384,384,0,0,6.912090e-01
385,385,0,0,6.864205e-01
386,386,0,0,6.255625e-01
387,387,0,0,7.662271e-01
388,388,0,0,8.508945e-01
389,389,0,0,6.409925e-01
390,390,0,0,6.934607e-01
391,391,0,0,6.069199e-01
392,392,0,0,9.332570e-01
393,393,0,0,7.703789e-01
394,394,0,0,7.959376e-01
395,395,0,0,6.003103e-01
396,396,0,0,5.453421e-01
397,397,0,0,5.899805e-01
398,398,0,0,6.017138e-01
399,399,0,0,6.286333e-01
400,400,0,0,6.858547e-01
401,401,0,0,7.874259e-01
402,402,0,0,7.920682e-01
403,403,0,0,8.846528e-01
404,404,0,0,7.660296e-01
405,405,0,0,7.158797e-01
406,406,0,0,5.990839e-01
407,407,0,0,5.876221e-01
408,408,0,0,5.817476e-01
409,409,0,0,6.965859e-01
410,410,0,0,6.447881e-01
411,411,0,0,9.486813e-01
412,412,0,0,5.623701e-01
413,413,0,0,5.837263e-01
414,414,0,0,6.852315e-01
415,415,0,0,5.872236e-01
416,416,0,0,6.243963e-01
417,417,0,0,7.520472e-01
418,418,0,0,6.412779e-01
419,419,0,0,6.425132e-01
420,420,0,0,7.761164e-01
421,421,0,0,8.440770e-01
422,422,0,0,5.932787e-01
423,423,0,0,5.669587e-01
424,424,0,0,6.612230e-01
425,425,0,0,8.416804e-01
426,426,0,0,6.052041e-01
427,427,0,0,8.696692e-01
428,428,0,0,9.346827e-01
429,429,0,0,8.614158e-01
430,430,0,0,6.658513e-01
431,431,0,0,6.405102e-01
432,432,0,0,8.483466e-01
433,433,0,0,6.152436e-01
434,434,0,0,6.170880e-01
435,435,0,0,6.822970e-01
436,436,0,0,7.523668e-01
437,437,0,0,6.666511e-01
438,438,0,0,7.338915e-01
439,439,0,0,7.156905e-01
440,440,0,0,8.799420e-01
441,441,0,0,8.179361e-01
442,442,0,0,7.684845e-01
443,443,0,0,7.028868e-01
444,444,0,0,6.059482e-01
445,445,0,0,7.235543e-01
446,446,0,0,8.769867e-01
447,447,0,0,6.074262e-01
448,448,0,0,6.503925e-01
449,449,0,0,6.091327e-01
450,450,0,0,6.183297e-01
451,451,0,0,6.791404e-01
452,452,0,0,6.301146e-01
453,453,0,0,7.446466e-01
454,454,0,0,5.583455e-01
455,455,0,0,7.357969e-01
456,456,0,0,7.108354e-01
457,457,0,0,6.661128e-01
458,458,0,0,5.766684e-01
459,459,0,0,7.636137e-01
460,460,0,0,8.366021e-01
461,461,0,0,5.998576e-01
462,462,0,0,7.613956e-01
463,463,0,0,5.999620e-01
464,464,0,0,6.639993e-01
465,465,0,0,7.780270e-01
466,466,0,0,6.857376e-01
467,467,0,0,6.216449e-01
468,468,0,0,6.919087e-01
469,469,0,0,5.491007e-01
470,470,0,0,6.102152e-01
471,471,0,0,6.452435e-01
472,472,0,0,6.593272e-01
473,473,0,0,7.040299e-01
474,474,0,0,5.990120e-01
475,475,0,0,6.060758e-01
