EventID,edep_MeV,dose_Gy
338,5.823745e-01,2.002289e-10
339,6.936298e-01,2.384802e-10
340,8.670861e-01,2.981170e-10
341,5.770258e-01,1.983900e-10
342,5.787965e-01,1.989988e-10
343,5.748785e-01,1.976517e-10
344,6.334688e-01,2.177959e-10
345,6.675052e-01,2.294981e-10
346,6.045380e-01,2.078491e-10
347,6.986183e-01,2.401953e-10
348,7.975420e-01,2.742067e-10
349,7.412296e-01,2.548456e-10
350,6.062284e-01,2.084302e-10
351,6.510630e-01,2.238451e-10
352,6.024175e-01,2.071200e-10
353,6.119639e-01,2.104022e-10
354,7.008584e-01,2.409654e-10
355,5.419520e-01,1.863311e-10
356,5.907805e-01,2.031190e-10
357,7.816500e-01,2.687428e-10
358,6.218466e-01,2.138000e-10
359,6.520658e-01,2.241898e-10
360,7.564742e-01,2.600870e-10
361,7.382037e-01,2.538053e-10
362,7.153031e-01,2.459318e-10
363,6.406704e-01,2.202719e-10
364,8.306642e-01,2.855946e-10
365,6.515662e-01,2.240181e-10
366,6.946067e-01,2.388160e-10
367,6.107987e-01,2.100016e-10
368,7.321532e-01,2.517251e-10
369,6.086812e-01,2.092736e-10
370,6.734111e-01,2.315287e-10
371,8.875715e-01,3.051602e-10
372,7.653382e-01,2.631345e-10
373,6.364275e-01,2.188131e-10
374,6.142454e-01,2.111866e-10
375,7.222624e-01,2.483245e-10
376,5.878963e-01,2.021274e-10
377,7.815904e-01,2.687223e-10
378,5.902402e-01,2.029333e-10
379,5.413111e-01,1.861107e-10
380,7.139397e-01,2.454630e-10
381,7.851034e-01,2.699301e-10
382,5.794009e-01,1.992065e-10
383,7.586572e-01,2.608375e-10
384,6.912090e-01,2.376478e-10
385,6.864205e-01,2.360015e-10
386,6.255625e-01,2.150776e-10
387,7.662271e-01,2.634402e-10
388,8.508945e-01,2.925501e-10
389,6.409925e-01,2.203827e-10
390,6.934607e-01,2.384220e-10
391,6.069199e-01,2.086680e-10
392,9.332570e-01,3.208675e-10
393,7.703789e-01,2.648676e-10
394,7.959376e-01,2.736551e-10
395,6.003103e-01,2.063955e-10
396,5.453421e-01,1.874966e-10
397,5.899805e-01,2.028440e-10
398,6.017138e-01,2.068781e-10
399,6.286333e-01,2.161334e-10
400,6.858547e-01,2.358069e-10
401,7.874259e-01,2.707286e-10
402,7.920682e-01,2.723247e-10
403,8.846528e-01,3.041567e-10
404,7.660296e-01,2.633723e-10
405,7.158797e-01,2.461300e-10
406,5.990839e-01,2.059739e-10
407,5.876221e-01,2.020331e-10
408,5.817476e-01,2.000134e-10
409,6.965859e-01,2.394965e-10
410,6.447881e-01,2.216877e-10
411,9.486813e-01,3.261706e-10
412,5.623701e-01,1.933511e-10
413,5.837263e-01,2.006937e-10
414,6.852315e-01,2.355927e-10
415,5.872236e-01,2.018961e-10
416,6.243963e-01,2.146767e-10
417,7.520472e-01,2.585649e-10
418,6.412779e-01,2.204808e-10
419,6.425132e-01,2.209055e-10
420,7.761164e-01,2.668403e-10
421,8.440770e-01,2.902061e-10
422,5.932787e-01,2.039780e-10
423,5.669587e-01,1.949287e-10
424,6.612230e-01,2.273382e-10
425,8.416804e-01,2.893821e-10
426,6.052041e-01,2.080781e-10
427,8.696692e-01,2.990051e-10
428,9.346827e-01,3.213577e-10
429,8.614158e-01,2.961675e-10
430,6.658513e-01,2.289295e-10
431,6.405102e-01,2.202169e-10
432,8.483466e-01,2.916740e-10
433,6.152436e-01,2.115298e-10
434,6.170880e-01,2.121639e-10
435,6.822970e-01,2.345837e-10
436,7.523668e-01,2.586748e-10
437,6.666511e-01,2.292045e-10
438,7.338915e-01,2.523227e-10
439,7.156905e-01,2.460649e-10
440,8.799420e-01,3.025370e-10
441,8.179361e-01,2.812185e-10
442,7.684845e-01,2.642163e-10
443,7.028868e-01,2.416628e-10
444,6.059482e-01,2.083339e-10
445,7.235543e-01,2.487686e-10
446,8.769867e-01,3.015209e-10
447,6.074262e-01,2.088421e-10
448,6.503925e-01,2.236145e-10
449,6.091327e-01,2.094288e-10
450,6.183297e-01,2.125909e-10
451,6.791404e-01,2.334985e-10
452,6.301146e-01,2.166427e-10
453,7.446466e-01,2.560205e-10
454,5.583455e-01,1.919674e-10
455,7.357969e-01,2.529778e-10
456,7.108354e-01,2.443957e-10
457,6.661128e-01,2.290194e-10
458,5.766684e-01,1.982671e-10
459,7.636137e-01,2.625416e-10
460,8.366021e-01,2.876361e-10
461,5.998576e-01,2.062399e-10
462,7.613956e-01,2.617790e-10
463,5.999620e-01,2.062758e-10
464,6.639993e-01,2.282928e-10
465,7.780270e-01,2.674971e-10
